품종,나이,산책시간(시간),체중,성별,중성화여부,색상
말티즈,2,0.8,4,M,Y,백
말티즈,2,0.8,4,F,U,갈색
말티즈,2,0.8,4,M,N,흰색
말티즈,2,0.8,4,M,Y,흰색
말티즈,2,0.8,4,M,N,흰
말티즈,2,0.8,4.2,M,N,흰
말티즈,2,0.8,4.2,M,Y,백색
말티즈,2,0.8,4.37,F,U,흰색
말티즈,2,0.8,4.9,M,N,흰색
말티즈,2,0.8,5,F,N,흰색
말티즈,2,0.8,5,M,U,흰
말티즈,2,0.8,5,M,Y,흰색
말티즈,2,0.8,5.5,F,N,흰
말티즈,2,0.8,6,F,U,흰색
말티즈,2,0.8,7,M,Y,흰색
말티즈,1,0.8,1.2,M,Y,흰색
말티즈,1,0.8,1.6,F,U,흰색
말티즈,1,0.8,2,F,U,흰색
말티즈,1,0.8,2.2,F,U,흰색
말티즈,1,0.8,2.3,F,U,흰
말티즈,1,0.8,2.3,M,Y,흰색
말티즈,1,0.8,2.5,F,U,흰/갈
말티즈,1,0.8,2.5,F,U,백
말티즈,1,0.8,2.5,F,N,흰색
말티즈,1,0.8,2.7,F,N,흰색
말티즈,1,0.8,3,M,N,백
말티즈,1,0.8,3.1,F,U,흰
말티즈,1,0.8,3.2,M,U,흰
말티즈,1,0.8,3.2,M,Y,흰색
말티즈,1,0.8,3.5,M,Y,흰색
말티즈,1,0.8,3.5,M,N,백
말티즈,1,0.8,3.6,M,N,흰
말티즈,1,0.8,3.9,M,N,흰
말티즈,1,0.8,4,M,N,흰색
말티즈,1,0.8,4,M,N,백
말티즈,1,0.8,4.2,M,N,흰
말티즈,1,0.8,5,M,N,흰
말티즈,0,0.5,0.04,F,N,흰색
말티즈,0,0.5,0.04,M,N,흰색
말티즈,0,0.5,0.04,F,N,갈색
말티즈,0,0.5,0.05,M,N,흰색
말티즈,0,0.5,0.3,M,N,흰색
말티즈,0,0.5,0.3,F,N,흰색
말티즈,0,0.5,0.44,F,U,백색
말티즈,0,0.5,0.45,M,N,하양
말티즈,0,0.5,0.5,F,N,흰색
말티즈,0,0.5,0.5,F,N,흰색
말티즈,0,0.5,0.5,M,N,갈색
말티즈,0,0.5,0.5,F,N,갈색
